DAY,MONTH,YEAR,DAYNAME,DATE,HOUR,GENERAL_SUPPLY_KWH
27,2,2014,Thursday,2/27/2014,14,0.268156246
25,2,2013,Monday,2/25/2013,16,0.480434938
9,1,2014,Thursday,1/9/2014,8,0.235609142
31,1,2014,Friday,1/31/2014,10,0.247628076
10,11,2012,Saturday,11/10/2012,20,0.325072328
21,5,2012,Monday,5/21/2012,19,0.643355513
2,12,2011,Friday,12/2/2011,19,0.309327160
5,8,2012,Sunday,8/5/2012,23,0.366442040
1,6,2013,Saturday,6/1/2013,17,0.469974724
17,2,2012,Friday,2/17/2012,23,0.252594040
27,10,2013,Sunday,10/27/2013,11,0.272190720
24,4,2013,Wednesday,4/24/2013,19,0.417916260
9,10,2011,Sunday,10/9/2011,21,0
3,5,2012,Thursday,5/3/2012,19,0.521677962
29,1,2014,Wednesday,1/29/2014,13,0.352458607
27,8,2013,Tuesday,8/27/2013,17,0.313898642
26,10,2013,Saturday,10/26/2013,3,0.148650305
16,9,2012,Sunday,9/16/2012,21,0.415468754
8,10,2013,Tuesday,10/8/2013,19,0.407120044
2,7,2012,Monday,7/2/2012,17,0.529667040
22,1,2012,Sunday,1/22/2012,21,0.295370107
8,12,2013,Sunday,12/8/2013,9,0.273603379
7,4,2012,Saturday,4/7/2012,17,0.358132908
18,12,2013,Wednesday,12/18/2013,15,0.308104046
19,1,2013,Saturday,1/19/2013,23,0.231288808
30,1,2013,Wednesday,1/30/2013,23,0.240603628
17,12,2013,Tuesday,12/17/2013,7,0.253572955
24,12,2011,Saturday,12/24/2011,17,0.386180488
4,6,2013,Tuesday,6/4/2013,21,0.560186722
4,11,2012,Sunday,11/4/2012,19,0.399478748
28,1,2014,Tuesday,1/28/2014,5,0.182853710
9,3,2013,Saturday,3/9/2013,21,0.326797912
7,12,2013,Saturday,12/7/2013,1,0.166333010
16,7,2013,Tuesday,7/16/2013,23,0.344120935
27,9,2012,Thursday,9/27/2012,17,0.281436612
12,12,2012,Wednesday,12/12/2012,21,0.323578746
13,12,2011,Tuesday,12/13/2011,0,0.179010526
16,11,2012,Friday,11/16/2012,10,0.236943594
12,5,2013,Sunday,5/12/2013,8,0.284875784
28,2,2012,Tuesday,2/28/2012,6,0.293630830
28,3,2013,Thursday,3/28/2013,4,0.181969631
5,8,2013,Monday,8/5/2013,14,0.248770668
8,1,2013,Tuesday,1/8/2013,6,0.227125263
1,6,2012,Friday,6/1/2012,2,0.202018388
26,11,2013,Tuesday,11/26/2013,16,0.270274034
20,4,2012,Friday,4/20/2012,2,0.187666494
19,9,2013,Thursday,9/19/2013,2,0.162135173
6,8,2013,Tuesday,8/6/2013,6,0.288237132
24,6,2013,Monday,6/24/2013,12,0.331885899
21,10,2011,Friday,10/21/2011,12,0.302703704
7,8,2013,Wednesday,8/7/2013,8,0.373141517
21,11,2011,Monday,11/21/2011,2,0.16125
10,10,2012,Wednesday,10/10/2012,0,0.175023695
26,3,2012,Monday,3/26/2012,8,0.280416611
1,12,2012,Saturday,12/1/2012,4,0.211411038
14,7,2012,Saturday,7/14/2012,8,0.327507510
4,4,2013,Thursday,4/4/2013,10,0.241055835
29,3,2013,Friday,3/29/2013,12,0.299733336
20,11,2011,Sunday,11/20/2011,10,0.348828125
18,9,2013,Wednesday,9/18/2013,10,0.227947865
15,10,2013,Tuesday,10/15/2013,18,0.372832529
9,10,2012,Tuesday,10/9/2012,8,0.251536317
2,2,2012,Thursday,2/2/2012,4,0.160111111
30,12,2013,Monday,12/30/2013,22,0.271976938
21,2,2014,Friday,2/21/2014,16,0.299510680
25,6,2013,Tuesday,6/25/2013,4,0.217249623
3,2,2012,Friday,2/3/2012,12,0.288117984
18,2,2013,Monday,2/18/2013,6,0.242034042
21,4,2012,Saturday,4/21/2012,10,0.330965431
23,7,2012,Monday,7/23/2012,6,0.276449957
29,2,2012,Wednesday,2/29/2012,14,0.280169643
13,7,2012,Friday,7/13/2012,0,0.291054334
8,8,2013,Thursday,8/8/2013,0,0.272484408
24,7,2012,Tuesday,7/24/2012,14,0.317900315
3,9,2012,Monday,9/3/2012,4,0.193904806
2,6,2012,Saturday,6/2/2012,10,0.380005265
12,12,2011,Monday,12/12/2011,8,0.264971053
22,10,2011,Saturday,10/22/2011,4,0.176454955
3,4,2013,Wednesday,4/3/2013,2,0.155284724
4,9,2012,Tuesday,9/4/2012,12,0.230592440
17,11,2012,Saturday,11/17/2012,2,0.150627549
7,1,2013,Monday,1/7/2013,14,0.382659255
11,5,2013,Saturday,5/11/2013,0,0.239211224
30,11,2012,Friday,11/30/2012,12,0.446993599
19,2,2013,Tuesday,2/19/2013,14,0.268718558
25,3,2012,Sunday,3/25/2012,0,0.207487026
10,2,2014,Monday,2/10/2014,20,0.431804973
3,10,2012,Wednesday,10/3/2012,16,0.231942641
14,6,2013,Friday,6/14/2013,20,0.567873666
13,1,2013,Sunday,1/13/2013,22,0.272994515
28,11,2013,Thursday,11/28/2013,8,0.232645068
3,3,2013,Sunday,3/3/2013,20,0.384267585
9,5,2012,Wednesday,5/9/2012,18,0.531136823
22,11,2011,Tuesday,11/22/2011,18,0.388773438
6,7,2013,Saturday,7/6/2013,22,0.528753996
27,11,2013,Wednesday,11/27/2013,0,0.174066424
31,5,2012,Thursday,5/31/2012,18,0.570894644
27,12,2013,Friday,12/27/2013,6,0.188702099
22,6,2012,Friday,6/22/2012,16,0.428389048
6,9,2013,Friday,9/6/2013,16,0.240287359
5,2,2013,Tuesday,2/5/2013,22,0.268963164
26,5,2013,Sunday,5/26/2013,16,0.336527202
18,1,2014,Saturday,1/18/2014,4,0.184800708
16,1,2012,Monday,1/16/2012,20,0.332096330
3,1,2012,Tuesday,1/3/2012,16,0.359529268
29,10,2012,Monday,10/29/2012,18,0.391833804
15,8,2012,Wednesday,8/15/2012,22,0.464450328
6,9,2012,Thursday,9/6/2012,20,0.388129785
19,1,2014,Sunday,1/19/2014,12,0.399605111
19,10,2011,Wednesday,10/19/2011,20,0.382196078
5,11,2013,Tuesday,11/5/2013,2,0.149964616
28,12,2013,Saturday,12/28/2013,14,0.304306450
23,2,2012,Thursday,2/23/2012,22,0.318896594
6,11,2013,Wednesday,11/6/2013,10,0.213914310
28,9,2013,Saturday,9/28/2013,18,0.350444810
1,4,2012,Sunday,4/1/2012,16,0.362170996
18,12,2012,Tuesday,12/18/2012,20,0.412459109
30,4,2013,Tuesday,4/30/2013,18,0.429806405
18,11,2012,Sunday,11/18/2012,1,0.165263094
31,12,2013,Tuesday,12/31/2013,21,0.297793116
15,12,2011,Thursday,12/15/2011,11,0.225854922
18,11,2011,Friday,11/18/2011,1,0.146140625
24,10,2011,Monday,10/24/2011,15,0.360726891
27,3,2012,Tuesday,3/27/2012,11,0.247011866
5,2,2012,Sunday,2/5/2012,7,0.248807190
7,10,2012,Sunday,10/7/2012,3,0.147474721
4,6,2012,Monday,6/4/2012,1,0.222053844
19,4,2012,Thursday,4/19/2012,1,0.206333070
4,8,2013,Sunday,8/4/2013,13,0.317814975
27,6,2013,Thursday,6/27/2013,15,0.318903284
17,2,2013,Sunday,2/17/2013,5,0.165951081
26,6,2013,Wednesday,6/26/2013,7,0.409358099
31,3,2013,Sunday,3/31/2013,7,0.229997011
20,2,2014,Thursday,2/20/2014,19,0.400554540
2,4,2013,Tuesday,4/2/2013,1,0.162398646
1,4,2013,Monday,4/1/2013,9,0.277789040
10,8,2013,Saturday,8/10/2013,11,0.307697000
18,4,2012,Wednesday,4/18/2012,9,0.323915045
3,8,2013,Saturday,8/3/2013,5,0.221564699
28,3,2012,Wednesday,3/28/2012,3,0.170037879
16,9,2013,Monday,9/16/2013,1,0.179633519
27,2,2012,Monday,2/27/2012,5,0.216575350
9,1,2013,Wednesday,1/9/2013,5,0.301970619
23,11,2013,Saturday,11/23/2013,19,0.343593116
10,1,2013,Thursday,1/10/2013,13,0.246233041
1,9,2012,Saturday,9/1/2012,15,0.309743521
26,2,2012,Sunday,2/26/2012,13,0.389060164
28,11,2012,Wednesday,11/28/2012,7,0.264580869
7,2,2014,Friday,2/7/2014,23,0.239784772
11,7,2012,Wednesday,7/11/2012,11,0.304356339
25,7,2012,Wednesday,7/25/2012,13,0.259267441
13,5,2013,Monday,5/13/2013,11,0.241894224
19,11,2011,Saturday,11/19/2011,9,0.262621094
16,2,2013,Saturday,2/16/2013,13,0.293434579
12,7,2012,Thursday,7/12/2012,3,0.189593006
